order_id,product_id,category,price,shipping_cost,revenue
10002,P5831,Electronics,109.06,8.72,117.78
10003,P1173,Electronics,54,3.45,57.45
10003,P2659,Beauty,35.7,6.68,42.38
10003,P1425,Home,56.63,5.68,62.31
10003,P2769,Beauty,46.15,4.93,51.08
10004,P8887,Books,84.5,5.54,90.04
10004,P3255,Books,100.8,2.9,103.7
10005,P6861,Apparel,55.78,6.8,62.58
10006,P3369,Electronics,85.77,10.26,96.03
10006,P1894,Electronics,44.97,12.78,57.75
10006,P4297,Beauty,60.46,15.24,75.7
10007,P8657,Apparel,57.96,5.84,63.8
10007,P6499,Sports,59.88,7.15,67.03
10007,P2717,Sports,29.09,2.76,31.85
10009,P6431,Beauty,74.45,2.74,77.19
10009,P1110,Books,47.89,4.59,52.48
10011,P6896,Apparel,55.1,7.66,62.76
10011,P5654,Electronics,82.06,1.67,83.73
10011,P3855,Apparel,22.76,2.2,24.96
10011,P4211,Home,72.04,2.06,74.1
10013,P4444,Books,67.33,0.93,68.26
10013,P7100,Home,41.36,3.11,44.47
10013,P8106,Books,19.03,4.42,23.45
10013,P3142,Books,10.72,1.21,11.93
10014,P8037,Sports,65.47,5.84,71.31
10014,P4098,Books,46.01,0.72,46.73
10016,P5588,Apparel,31.57,0.45,32.02
10016,P9011,Apparel,73.01,8.21,81.22
10016,P2062,Apparel,63.19,6.65,69.84
10018,P7125,Sports,68.77,4.42,73.19
10018,P9106,Sports,98.32,9.85,108.17
10018,P1599,Beauty,43.61,5.51,49.12
10018,P4840,Apparel,37.35,2.8,40.15
10019,P2376,Home,80.38,1.86,82.24
10019,P1674,Home,66.67,4.87,71.54
10019,P8391,Beauty,75.43,4.66,80.09
10020,P2243,Electronics,27.78,2.78,30.56
10020,P9220,Home,107.7,3.49,111.19
10020,P5528,Sports,68.42,0.93,69.35
10020,P1627,Apparel,18.8,0.85,19.65
10021,P9898,Apparel,60.92,8.39,69.31
10021,P6679,Home,6.27,2.51,8.78
10021,P1194,Beauty,79.75,6.9,86.65
10022,P9451,Books,75.23,4.66,79.89
10022,P8559,Sports,78.61,7.44,86.05
10023,P1493,Apparel,74.27,13.31,87.58
10023,P6006,Home,30.63,13.64,44.27
10023,P6810,Books,11.8,12.64,24.44
10023,P7608,Home,43.23,6.64,49.87
10024,P1527,Home,51.62,4.77,56.39
10024,P6410,Apparel,17.65,8,25.65
10024,P7404,Sports,54.98,5.07,60.05
10025,P8778,Beauty,18.21,5.58,23.79
10025,P5991,Electronics,53.91,13.88,67.79
10026,P7322,Electronics,37.58,1.08,38.66
10026,P9591,Home,40.38,4.54,44.92
10026,P1180,Electronics,76.6,5.75,82.35
10026,P7407,Apparel,57.98,14.2,72.18
10027,P8081,Apparel,28.7,3.14,31.84
10027,P6084,Books,104.94,2.43,107.37
10027,P8519,Sports,39.11,10.94,50.05
10027,P8302,Home,38.93,15.13,54.06
10028,P2492,Beauty,41.87,0.33,42.2
10028,P6681,Home,56.27,7.72,63.99
10028,P7407,Books,71.67,6.66,78.33
10028,P7800,Sports,70.15,7.14,77.29
10029,P3587,Beauty,112.12,0.68,112.8
10030,P2986,Beauty,70.28,11.88,82.16
10030,P6341,Home,21.54,1.64,23.18
10033,P7244,Books,111.51,11.7,123.21
10034,P8606,Books,143.94,5.11,149.05
10035,P3794,Beauty,129.86,13.13,142.99
10035,P3034,Electronics,98.77,2.77,101.54
10036,P1564,Apparel,40.14,1.5,41.64
10036,P1782,Books,47.33,3.71,51.04
10036,P2684,Books,69.22,5.38,74.6
10037,P4908,Apparel,78.42,3.15,81.57
10037,P1238,Apparel,12.77,3.54,16.31
10037,P2035,Home,69.93,5.71,75.64
10037,P3750,Apparel,80.77,0.81,81.58
10039,P6286,Beauty,85.02,12.73,97.75
10040,P8010,Sports,40.56,8.45,49.01
10040,P6298,Electronics,44.24,1.65,45.89
10041,P7045,Apparel,20.01,12.71,32.72
10041,P5940,Electronics,20.2,3.41,23.61
10041,P9784,Sports,83.14,15.46,98.6
10041,P6314,Sports,35.36,14.96,50.32
10043,P3177,Books,78.08,6.48,84.56
10043,P6209,Home,19.35,6.4,25.75
10043,P8354,Books,43.4,2.81,46.21
10043,P9248,Beauty,45.66,6.23,51.89
10044,P3032,Apparel,13.49,11.84,25.33
10045,P7156,Home,83.02,3.15,86.17
10045,P8270,Apparel,103.88,3.72,107.6
10046,P1648,Apparel,27.4,5.4,32.8
10046,P5726,Sports,67.68,3.49,71.17
10046,P6615,Electronics,23.55,6.15,29.7
10047,P4007,Sports,113.09,6.7,119.79
10047,P9055,Beauty,84,0.83,84.83
10048,P4348,Electronics,35.69,8.57,44.26
10048,P8652,Apparel,84.28,6.64,90.92
10049,P4299,Home,50.79,8.13,58.92
10049,P6891,Home,73.21,4.04,77.25
10049,P7925,Beauty,35.21,3.96,39.17
10050,P2363,Electronics,95.84,5.27,101.11
10050,P3878,Home,76.66,1.88,78.54
10050,P5640,Home,51.97,3.77,55.74
10050,P6459,Beauty,72.86,5.92,78.78
10051,P7465,Beauty,67.94,6.36,74.3
10051,P2167,Books,63.46,7.48,70.94
10051,P3039,Beauty,136.53,15.18,151.71
10052,P7032,Sports,113.65,9.91,123.56
10052,P7947,Books,18.8,6.01,24.81
10052,P6921,Books,46.33,7.45,53.78
10053,P8462,Books,107.33,2.3,109.63
10054,P3644,Home,46.42,9.02,55.44
10054,P7297,Electronics,27.39,1.44,28.83
10055,P9735,Home,68.15,4.79,72.94
10055,P7743,Books,85.54,5.6,91.14
10055,P6642,Books,84,1.04,85.04
10055,P7520,Apparel,30.4,2,32.4
10056,P2144,Apparel,129.27,0.03,129.3
10057,P8060,Sports,61.34,3.88,65.22
10057,P3200,Apparel,31.13,2.51,33.64
10057,P2806,Apparel,70.07,6.76,76.83
10057,P4292,Beauty,80.2,2.86,83.06
10058,P3721,Beauty,90.08,8.63,98.71
10058,P5534,Electronics,47.03,5.22,52.25
10058,P8829,Electronics,53.35,8.1,61.45
10058,P2000,Beauty,96,1.39,97.39
10059,P9520,Apparel,86.45,0.12,86.57
10060,P8036,Beauty,63.21,4.19,67.4
10060,P6164,Home,51.32,11.07,62.39
10060,P7200,Apparel,117.5,8.27,125.77
10062,P7583,Home,68.81,0.03,68.84
10062,P1420,Books,71.1,7.77,78.87
10062,P5072,Sports,15.23,4.46,19.69
10065,P6278,Electronics,82.91,8.04,90.95
10065,P6333,Electronics,55.29,7.34,62.63
10066,P2333,Sports,61.07,8.7,69.77
10066,P8800,Home,54.85,10.96,65.81
10067,P3345,Books,66.43,9.48,75.91
10068,P9990,Apparel,82.9,1.37,84.27
10069,P8899,Apparel,75.88,8.02,83.9
10069,P3792,Books,47.98,2.04,50.02
10069,P1478,Books,60.47,0.89,61.36
10069,P7283,Apparel,78.43,2.74,81.17
10070,P3016,Books,36.55,5.67,42.22
10070,P9060,Books,23.01,6.36,29.37
10072,P7252,Books,60.37,14.2,74.57
10073,P2436,Apparel,23.13,0.97,24.1
10073,P4082,Electronics,12.59,6.22,18.81
10073,P3087,Books,79.45,4.81,84.26
10073,P1027,Home,80.4,4.84,85.24
10075,P2746,Sports,70.36,6.06,76.42
10075,P6176,Beauty,7.72,8.74,16.46
10078,P1562,Apparel,64.17,7.13,71.3
10078,P3022,Sports,30.7,4.22,34.92
10078,P8836,Home,83.75,5.94,89.69
10079,P1963,Beauty,52.84,15.08,67.92
10079,P4687,Home,32.63,11.18,43.81
10080,P5900,Apparel,97.23,8.17,105.4
10081,P8756,Electronics,50.69,2.96,53.65
10081,P9648,Home,67.85,3.43,71.28
10082,P9978,Books,77.97,5.89,83.86
10082,P1886,Beauty,13.23,2.72,15.95
10082,P3253,Books,29.44,5.5,34.94
10083,P2670,Books,59.74,3.21,62.95
10083,P7169,Books,70.84,7.6,78.44
10085,P2573,Books,71.59,7.78,79.37
10085,P1859,Home,81.98,1.51,83.49
10085,P8107,Electronics,82.45,5.46,87.91
10085,P1556,Apparel,54.75,3.39,58.14
10086,P2468,Books,83.31,5.63,88.94
10086,P5509,Beauty,73.41,5.46,78.87
10086,P2966,Books,56.81,3.09,59.9
10086,P9351,Electronics,12.08,4.11,16.19
10087,P8105,Beauty,43.56,5.42,48.98
10087,P2040,Home,50.4,0.83,51.23
10088,P9788,Beauty,128.75,0.31,129.06
10088,P9830,Sports,81.54,8.1,89.64
10092,P3960,Apparel,86.62,8.03,94.65
10093,P3015,Electronics,91.17,12.49,103.66
10093,P3641,Electronics,29.16,3.21,32.37
10094,P1001,Home,137.12,2.43,139.55
10094,P9510,Apparel,49.17,13.39,62.56
10094,P9035,Home,96.55,6.3,102.85
10096,P2622,Sports,47.8,1.76,49.56
10096,P4081,Books,69.87,1.99,71.86
10096,P3198,Apparel,29.1,6.99,36.09
10097,P7914,Sports,62.69,2,64.69
10097,P3675,Electronics,90.45,4.07,94.52
10098,P5413,Sports,40.07,9.81,49.88
10098,P7097,Books,111.85,3,114.85
10099,P8104,Beauty,130.03,4.94,134.97
10099,P2270,Beauty,14.17,9.41,23.58
10100,P3397,Home,76.89,6.54,83.43
10101,P4640,Home,6.37,3.17,9.54
10101,P3023,Beauty,80.22,6.57,86.79
10102,P1785,Sports,26.85,0.83,27.68
10102,P3960,Apparel,30.53,6.31,36.84
10102,P9711,Home,68.8,5.69,74.49
10103,P9414,Beauty,53.47,2.24,55.71
10103,P7206,Books,18.28,1.09,19.37
10103,P7064,Sports,65,0.45,65.45
10103,P7852,Books,68.39,5.86,74.25
10104,P9228,Beauty,82.92,6.71,89.63
10104,P4748,Home,27.22,3.59,30.81
10105,P2534,Books,21.97,11.39,33.36
10106,P3235,Beauty,106.69,14.24,120.93
10107,P6653,Books,72.28,8.33,80.61
10109,P9416,Apparel,16.51,10.13,26.64
10109,P7211,Home,115.35,5.1,120.45
10111,P4490,Home,53.96,4.58,58.54
10112,P1942,Beauty,140.35,13.23,153.58
10113,P9061,Beauty,62.02,1.59,63.61
10113,P3518,Apparel,22.74,8.02,30.76
10114,P3984,Home,40.31,4.99,45.3
10114,P8185,Sports,96.01,1.26,97.27
10114,P6795,Books,99.04,1.88,100.92
10114,P4251,Books,54.95,4.18,59.13
10115,P8852,Electronics,18.17,1.67,19.84
10115,P9012,Books,82.66,1,83.66
10115,P3087,Sports,44.45,5.73,50.18
10117,P3066,Electronics,130.65,10.78,141.43
10117,P4874,Apparel,52.75,0.18,52.93
10119,P8027,Home,50.17,1.25,51.42
10119,P4061,Apparel,97.74,11.08,108.82
10119,P5317,Apparel,50.01,1.75,51.76
10119,P4250,Books,45.21,12.48,57.69
10120,P2973,Sports,66.77,1.52,68.29
